Subject;Predicate;Object;;
Frida Kahlo letter to Nickolas Muray;dcterms: title;Frida Kahlo, Paris, France letter to Nickolas Muray, New York, N.Y.;;
Frida Kahlo letter to Nickolas Muray;dcterms: type;Correspondence;;
Frida Kahlo letter to Nickolas Muray;dcterms: created;1939;;
Frida Kahlo letter to Nickolas Muray;CRM: P55 has current location;Archives of American Art, Smithsonian Institution;;
Frida Kahlo letter to Nickolas Muray;dcterms: language;English;;
Frida Kahlo letter to Nickolas Muray;Schema: Author;Frida Kahlo;;
Frida Kahlo letter to Nickolas Muray;CRM: P26 moved to;Nickolas Muray;;
Frida Kahlo letter to Nickolas Muray;CRM: P67 refers to;Marcel Duchamp;;
Frida Kahlo letter to Nickolas Muray;Schema: hasPart;André Bréton, illness;;
